id,name,city,address,price_per_night,rating,phone,website
45,Majestic Nha Trang Apartments,TP. Hồ Chí Minh,"110 Điện Biên Phủ, TP. Hồ Chí Minh",413320,2.7,028-625-2020,www.majestic-nha-trang-apartments.com
46,Metro Rice Field Hotel,TP. Hồ Chí Minh,"195 Ngô Quyền, TP. Hồ Chí Minh",795158,3.7,028-599-7865,www.metro-rice-field-hotel.vn
47,Emerald Suites Mekong Breeze,TP. Hồ Chí Minh,"140 Bạch Đằng, TP. Hồ Chí Minh",537644,3.6,028-895-7624,www.emerald-suites-mekong-breeze.vn
48,Lotus Inn Seaside,TP. Hồ Chí Minh,"202 Lý Thường Kiệt, TP. Hồ Chí Minh",802943,4.0,028-638-3223,www.lotus-inn-seaside.com.vn
49,Lotus Azure Villa,TP. Hồ Chí Minh,"233 Hùng Vương, TP. Hồ Chí Minh",637279,3.3,028-970-7906,www.lotus-azure-villa.com.vn
50,Majestic Seaside Hotel,TP. Hồ Chí Minh,"115 Quang Trung, TP. Hồ Chí Minh",864894,4.1,033534266,www.majestic-seaside-hotel.com
51,Lotus Phu Quoc Palace,TP. Hồ Chí Minh,"289 Nguyễn Huệ, TP. Hồ Chí Minh",969708,4.9,028-577-3749,www.lotus-phu-quoc-palace.vn
52,Lotus Resort Hue,TP. Hồ Chí Minh,"56 Hai Bà Trưng, TP. Hồ Chí Minh",850202,3.9,028-584-7498,www.lotus-resort-hue.vn
53,Pearl Nha Trang Resort,TP. Hồ Chí Minh,"62 Hai Bà Trưng, TP. Hồ Chí Minh",904153,4.5,028-745-8018,www.pearl-nha-trang-resort.vn
54,Mountain Lotus Hotel,TP. Hồ Chí Minh,"251 Cách Mạng Tháng Tám, TP. Hồ Chí Minh",533224,2.8,078243506,www.mountain-lotus-hotel.com.vn
55,Lotus Lodge Seaside,TP. Hồ Chí Minh,"239 Lê Duẩn, TP. Hồ Chí Minh",712864,3.6,028-451-2419,www.lotus-lodge-seaside.com.vn
56,Central Bamboo Apartments,TP. Hồ Chí Minh,"15 Trần Hưng Đạo, TP. Hồ Chí Minh",635043,3.7,028-563-5232,www.central-bamboo-apartments.com.vn
57,Golden Lodge Seaside,TP. Hồ Chí Minh,"265 Lý Thường Kiệt, TP. Hồ Chí Minh",827653,4.9,076684937,www.golden-lodge-seaside.vn
58,Garden Palace Bamboo,TP. Hồ Chí Minh,"48 Lý Thường Kiệt, TP. Hồ Chí Minh",534209,3.2,028-879-7046,www.garden-palace-bamboo.com.vn
59,Emerald Monsoon House,TP. Hồ Chí Minh,"181 Trần Hưng Đạo, TP. Hồ Chí Minh",759026,4.3,028-323-4155,www.emerald-monsoon-house.com.vn
60,Riverside Inn Da Lat,TP. Hồ Chí Minh,"248 Hùng Vương, TP. Hồ Chí Minh",573320,3.2,082024180,www.riverside-inn-da-lat.com.vn
61,Imperial Mango Hotel,TP. Hồ Chí Minh,"65 Khuê Văn Các, TP. Hồ Chí Minh",654571,3.2,028-914-3068,www.imperial-mango-hotel.vn
62,Garden Saigon Lodge,TP. Hồ Chí Minh,"246 Lê Duẩn, TP. Hồ Chí Minh",576417,3.6,028-689-2869,www.garden-saigon-lodge.com
63,City Rice Field Hotel,TP. Hồ Chí Minh,"77 Điện Biên Phủ, TP. Hồ Chí Minh",1032906,4.5,028-454-2940,www.city-rice-field-hotel.vn
64,Metro Suites Sunset,TP. Hồ Chí Minh,"231 Nguyễn Trãi, TP. Hồ Chí Minh",883674,4.8,028-639-6003,www.metro-suites-sunset.vn
65,Lotus Halong Suites,TP. Hồ Chí Minh,"136 Hùng Vương, TP. Hồ Chí Minh",701047,4.2,028-276-3564,www.lotus-halong-suites.com
66,Metro Mekong Breeze Lodge,TP. Hồ Chí Minh,"119 Đồng Khởi, TP. Hồ Chí Minh",508510,3.2,038034824,www.metro-mekong-breeze-lodge.com.vn
67,Horizon Da Lat Apartments,TP. Hồ Chí Minh,"279 Nguyễn Huệ, TP. Hồ Chí Minh",458436,3.1,028-345-2169,www.horizon-da-lat-apartments.com
68,Lotus Lodge Bamboo,TP. Hồ Chí Minh,"240 Nguyễn Huệ, TP. Hồ Chí Minh",867758,4.2,075482317,www.lotus-lodge-bamboo.vn
69,Royal Villa Mekong,Đà Nẵng,"47 Lý Thường Kiệt, Đà Nẵng",536121,3.1,038835415,www.royal-villa-mekong.vn
70,Royal Inn Mekong Breeze,Đà Nẵng,"227 Nguyễn Văn Cừ, Đà Nẵng",799336,4.8,0236-850-9056,www.royal-inn-mekong-breeze.com
71,Garden Lotus Villa,Đà Nẵng,"83 Nguyễn Huệ, Đà Nẵng",591244,3.3,0236-610-1601,www.garden-lotus-villa.com.vn
72,Majestic Lotus Resort,Đà Nẵng,"264 Nguyễn Trãi, Đà Nẵng",698057,4.6,075231888,www.majestic-lotus-resort.com
73,Palm Mekong Breeze Palace,Đà Nẵng,"105 Đồng Khởi, Đà Nẵng",452646,3.2,0236-915-8941,www.palm-mekong-breeze-palace.com
74,Grand Suites Hue,Đà Nẵng,"283 Hai Bà Trưng, Đà Nẵng",346513,2.5,0236-316-8560,www.grand-suites-hue.com
75,Horizon Palace Mango,Đà Nẵng,"140 Nguyễn Văn Cừ, Đà Nẵng",594509,3.5,0236-667-3369,www.horizon-palace-mango.com.vn
76,Pearl House Phu Quoc,Đà Nẵng,"142 Trần Phú, Đà Nẵng",923856,4.4,0236-719-5377,www.pearl-house-phu-quoc.com
77,Silver Palace Phu Quoc,Đà Nẵng,"276 Nguyễn Thị Minh Khai, Đà Nẵng",605120,3.7,075666272,www.silver-palace-phu-quoc.com
78,Imperial Nha Trang Apartments,Đà Nẵng,"163 Đồng Khởi, Đà Nẵng",877597,4.4,077793492,www.imperial-nha-trang-apartments.com.vn
79,Royal Rice Field Villa,Đà Nẵng,"226 Nguyễn Huệ, Đà Nẵng",470614,2.7,0236-347-7717,www.royal-rice-field-villa.vn
80,Sunrise Mekong Villa,Đà Nẵng,"204 Hoàng Văn Thụ, Đà Nẵng",841591,4.1,074248994,www.sunrise-mekong-villa.vn
81,Royal Suites Mango,Đà Nẵng,"47 Bạch Đằng, Đà Nẵng",527222,3.6,035543725,www.royal-suites-mango.vn
82,Silver Hotel Lotus,Đà Nẵng,"151 Đồng Khởi, Đà Nẵng",559388,3.4,0236-621-3950,www.silver-hotel-lotus.com
83,Lotus Azure Suites,Đà Nẵng,"299 Lê Duẩn, Đà Nẵng",448128,2.9,0236-461-1153,www.lotus-azure-suites.com.vn
84,Silver Inn Danang,Đà Nẵng,"177 Nguyễn Thị Minh Khai, Đà Nẵng",884331,5.0,085675949,www.silver-inn-danang.com
85,City Resort Nha Trang,Đà Nẵng,"293 Nguyễn Trãi, Đà Nẵng",529880,3.4,039497484,www.city-resort-nha-trang.com.vn
86,Grand Hanoi Palace,Đà Nẵng,"118 Hai Bà Trưng, Đà Nẵng",677795,4.0,087943240,www.grand-hanoi-palace.vn
87,Riverside Hotel Mango,Đà Nẵng,"18 Nguyễn Thị Minh Khai, Đà Nẵng",755714,3.9,0236-502-6352,www.riverside-hotel-mango.vn
88,Metro Phu Quoc House,Đà Nẵng,"272 Quang Trung, Đà Nẵng",612232,3.8,0236-693-5835,www.metro-phu-quoc-house.vn
89,Ocean Palace Danang,Đà Nẵng,"116 Điện Biên Phủ, Đà Nẵng",961439,4.7,081927464,www.ocean-palace-danang.com
90,Golden Bamboo Villa,Đà Nẵng,"300 Lê Lợi, Đà Nẵng",630089,3.5,0236-891-4830,www.golden-bamboo-villa.com.vn
91,Grand House Lotus,Đà Nẵng,"114 Hoàng Văn Thụ, Đà Nẵng",780421,4.1,0236-917-5951,www.grand-house-lotus.vn
92,Metro Hanoi Hotel,Đà Nẵng,"253 Hai Bà Trưng, Đà Nẵng",387384,2.8,0236-597-8432,www.metro-hanoi-hotel.com.vn
93,Emerald Phu Quoc Apartments,Đà Nẵng,"251 Nguyễn Huệ, Đà Nẵng",838324,4.0,0236-906-7070,www.emerald-phu-quoc-apartments.com
94,Central Nha Trang Villa,Đà Nẵng,"189 Nguyễn Huệ, Đà Nẵng",820639,3.9,0236-607-5520,www.central-nha-trang-villa.com
95,Riverside Palace Danang,Đà Nẵng,"11 Hùng Vương, Đà Nẵng",358745,2.6,091704394,www.riverside-palace-danang.vn
96,Pearl Suites Lotus,Đà Nẵng,"2 Điện Biên Phủ, Đà Nẵng",623795,3.2,089173858,www.pearl-suites-lotus.com
97,Grand Saigon River Suites,Đà Nẵng,"166 Ngô Quyền, Đà Nẵng",327002,2.5,0236-631-9619,www.grand-saigon-river-suites.com
98,Majestic Saigon River House,Đà Nẵng,"56 Ngô Quyền, Đà Nẵng",556413,3.6,085691510,www.majestic-saigon-river-house.com
99,Garden Apartments Halong,Đà Nẵng,"228 Lê Duẩn, Đà Nẵng",341985,2.7,032295505,www.garden-apartments-halong.vn
100,Horizon Lotus Apartments,Đà Nẵng,"272 Hoàng Văn Thụ, Đà Nẵng",527793,3.2,0236-918-2874,www.horizon-lotus-apartments.vn
101,Horizon House Da Lat,Đà Nẵng,"232 Cách Mạng Tháng Tám, Đà Nẵng",856697,4.7,075252557,www.horizon-house-da-lat.com.vn
102,Metro Mekong Villa,Hải Phòng,"243 Điện Biên Phủ, Hải Phòng",337781,2.7,0225-298-7105,www.metro-mekong-villa.com
103,Emerald Seaside House,Hải Phòng,"63 Trần Hưng Đạo, Hải Phòng",503766,3.5,079881842,www.emerald-seaside-house.com.vn
104,Lotus Halong House,Hải Phòng,"80 Hùng Vương, Hải Phòng",489394,4.1,0225-769-7022,www.lotus-halong-house.com
105,Golden Monsoon House,Hải Phòng,"286 Hoàng Văn Thụ, Hải Phòng",328375,2.6,081293955,www.golden-monsoon-house.com.vn
106,Silver Villa Saigon,Hải Phòng,"74 Phan Chu Trinh, Hải Phòng",492224,3.9,0225-848-1502,www.silver-villa-saigon.com
107,Palm Monsoon Palace,Hải Phòng,"81 Trần Hưng Đạo, Hải Phòng",459098,3.4,031533549,www.palm-monsoon-palace.com
108,Lotus Danang Lodge,Hải Phòng,"218 Nguyễn Thị Minh Khai, Hải Phòng",465764,3.7,0225-973-9394,www.lotus-danang-lodge.com
109,Mountain Mango Palace,Hải Phòng,"158 Nguyễn Văn Cừ, Hải Phòng",270978,2.6,0225-207-4349,www.mountain-mango-palace.com.vn
110,Pearl Lodge Mango,Hải Phòng,"62 Trần Hưng Đạo, Hải Phòng",289499,2.5,0225-589-9725,www.pearl-lodge-mango.vn
111,Imperial Saigon River Resort,Hải Phòng,"22 Nguyễn Trãi, Hải Phòng",451608,3.6,0225-520-8033,www.imperial-saigon-river-resort.vn
112,City Apartments Mango,Hải Phòng,"208 Nguyễn Huệ, Hải Phòng",263399,2.6,079516928,www.city-apartments-mango.com
113,Metro Suites Monsoon,Hải Phòng,"206 Ngô Quyền, Hải Phòng",474307,3.8,0225-547-4630,www.metro-suites-monsoon.com.vn
114,Lotus Halong House,Hải Phòng,"100 Nguyễn Văn Cừ, Hải Phòng",631856,4.8,093412684,www.lotus-halong-house.com
115,Golden Phu Quoc Resort,Hải Phòng,"253 Phan Chu Trinh, Hải Phòng",487844,3.7,0225-897-6295,www.golden-phu-quoc-resort.vn
116,Ocean Danang Palace,Hải Phòng,"156 Nguyễn Thị Minh Khai, Hải Phòng",638901,4.5,0225-275-6085,www.ocean-danang-palace.com.vn
117,Central Saigon River Lodge,Hải Phòng,"47 Trần Phú, Hải Phòng",530624,4.0,0225-767-1672,www.central-saigon-river-lodge.com.vn
118,Sky Villa Mekong Breeze,Hải Phòng,"78 Nguyễn Văn Cừ, Hải Phòng",674993,4.9,088312381,www.sky-villa-mekong-breeze.vn
119,Horizon Nha Trang Palace,Hải Phòng,"269 Nguyễn Thị Minh Khai, Hải Phòng",429709,3.8,0225-489-7347,www.horizon-nha-trang-palace.com.vn
120,Ocean Hotel Lotus,Hải Phòng,"169 Trần Phú, Hải Phòng",320258,2.7,0225-941-3463,www.ocean-hotel-lotus.com.vn
121,Majestic Phu Quoc Villa,Hải Phòng,"201 Hai Bà Trưng, Hải Phòng",342780,2.8,0225-772-7171,www.majestic-phu-quoc-villa.vn
122,Ocean House Danang,Hải Phòng,"261 Cách Mạng Tháng Tám, Hải Phòng",401199,3.4,0225-419-6598,www.ocean-house-danang.com.vn
123,Pearl Phu Quoc Inn,Hải Phòng,"152 Trần Phú, Hải Phòng",538547,4.6,037776517,www.pearl-phu-quoc-inn.vn
124,Sunrise Phu Quoc Inn,Hải Phòng,"85 Phan Chu Trinh, Hải Phòng",480929,4.3,0225-936-4891,www.sunrise-phu-quoc-inn.com.vn
125,Lotus Bamboo Suites,Hải Phòng,"123 Khuê Văn Các, Hải Phòng",453420,3.3,0225-398-7026,www.lotus-bamboo-suites.vn
126,Sky Palace Mango,Hải Phòng,"258 Nguyễn Trãi, Hải Phòng",581653,3.8,099935096,www.sky-palace-mango.com
127,Horizon Saigon River House,Cần Thơ,"265 Nguyễn Huệ, Cần Thơ",583042,4.6,085609410,www.horizon-saigon-river-house.com
128,Metro Nha Trang Palace,Cần Thơ,"14 Quang Trung, Cần Thơ",423604,3.5,0292-595-2337,www.metro-nha-trang-palace.com.vn
129,Imperial Halong Villa,Cần Thơ,"71 Điện Biên Phủ, Cần Thơ",327118,2.6,0292-342-8685,www.imperial-halong-villa.com.vn
130,Lotus Danang Hotel,Cần Thơ,"111 Lê Lợi, Cần Thơ",646846,4.6,072135720,www.lotus-danang-hotel.com
131,Silver Nha Trang Apartments,Cần Thơ,"235 Hoàng Văn Thụ, Cần Thơ",338343,2.7,0292-748-1269,www.silver-nha-trang-apartments.vn
132,Palm Phu Quoc Lodge,Cần Thơ,"1 Cách Mạng Tháng Tám, Cần Thơ",476897,4.0,0292-880-2402,www.palm-phu-quoc-lodge.vn
133,Mountain Sunset House,Cần Thơ,"260 Nguyễn Văn Cừ, Cần Thơ",490211,3.9,0292-850-7338,www.mountain-sunset-house.com.vn
134,Golden Villa Danang,Cần Thơ,"124 Quang Trung, Cần Thơ",610562,4.3,082361726,www.golden-villa-danang.com.vn
135,Emerald Hue Palace,Cần Thơ,"94 Lê Duẩn, Cần Thơ",514641,4.5,071375807,www.emerald-hue-palace.com
136,Royal Hotel Lotus,Cần Thơ,"264 Hai Bà Trưng, Cần Thơ",493988,3.5,0292-237-4131,www.royal-hotel-lotus.com.vn
137,Mountain Hotel Lotus,Cần Thơ,"64 Lê Lợi, Cần Thơ",602570,4.5,0292-650-7334,www.mountain-hotel-lotus.com.vn
138,Lotus Mekong Breeze Villa,Cần Thơ,"137 Nguyễn Văn Cừ, Cần Thơ",670809,4.5,0292-816-3956,www.lotus-mekong-breeze-villa.vn
139,Silver Danang Villa,Cần Thơ,"157 Hai Bà Trưng, Cần Thơ",496670,3.6,0292-654-6759,www.silver-danang-villa.com.vn
140,Royal Villa Monsoon,Cần Thơ,"30 Lê Lợi, Cần Thơ",315589,2.7,0292-967-3621,www.royal-villa-monsoon.com
141,Sunrise Palace Hanoi,Cần Thơ,"35 Điện Biên Phủ, Cần Thơ",390925,3.1,0292-780-1530,www.sunrise-palace-hanoi.vn
142,Sunrise Villa Saigon River,Cần Thơ,"40 Nguyễn Thị Minh Khai, Cần Thơ",517301,3.9,0292-865-5566,www.sunrise-villa-saigon-river.com
143,Riverside Hue Palace,Cần Thơ,"199 Nguyễn Văn Cừ, Cần Thơ",572711,4.8,073195678,www.riverside-hue-palace.vn
144,Garden Phu Quoc Resort,Cần Thơ,"89 Nguyễn Thị Minh Khai, Cần Thơ",639032,4.7,0292-898-6236,www.garden-phu-quoc-resort.vn
145,Mountain House Seaside,Cần Thơ,"154 Hai Bà Trưng, Cần Thơ",686280,4.6,099126922,www.mountain-house-seaside.vn
146,Imperial Da Lat Inn,Cần Thơ,"253 Bạch Đằng, Cần Thơ",288048,2.6,0292-764-3126,www.imperial-da-lat-inn.vn
147,Majestic Azure Palace,Cần Thơ,"211 Nguyễn Văn Cừ, Cần Thơ",673636,4.4,0292-524-2215,www.majestic-azure-palace.com.vn
148,Central Villa Phu Quoc,Cần Thơ,"94 Khuê Văn Các, Cần Thơ",515001,4.4,0292-256-3034,www.central-villa-phu-quoc.vn
149,Sunrise Hue Villa,Cần Thơ,"178 Bạch Đằng, Cần Thơ",692912,4.9,0292-280-5105,www.sunrise-hue-villa.com
150,Horizon Lodge Phu Quoc,Cần Thơ,"274 Hai Bà Trưng, Cần Thơ",315986,2.7,0292-794-3526,www.horizon-lodge-phu-quoc.com
151,Lotus Villa Rice Field,Cần Thơ,"15 Đồng Khởi, Cần Thơ",351121,2.7,087664453,www.lotus-villa-rice-field.vn
152,Metro Hotel Mekong Breeze,Nha Trang,"149 Khuê Văn Các, Nha Trang",686188,4.1,0258-901-7653,www.metro-hotel-mekong-breeze.com.vn
153,Central Hanoi Inn,Nha Trang,"213 Nguyễn Thị Minh Khai, Nha Trang",573498,3.7,089826231,www.central-hanoi-inn.vn
154,Mountain Inn Saigon River,Nha Trang,"288 Nguyễn Văn Cừ, Nha Trang",388523,2.8,0258-660-5061,www.mountain-inn-saigon-river.com
155,Riverside Azure Apartments,Nha Trang,"82 Bạch Đằng, Nha Trang",976353,4.5,098813610,www.riverside-azure-apartments.com.vn
156,Palm Mango Palace,Nha Trang,"47 Lý Thường Kiệt, Nha Trang",935596,4.9,096976781,www.palm-mango-palace.com
157,Royal Mekong Breeze Lodge,Nha Trang,"5 Khuê Văn Các, Nha Trang",839162,4.6,088827606,www.royal-mekong-breeze-lodge.com.vn
158,Royal Rice Field House,Nha Trang,"186 Hùng Vương, Nha Trang",581467,3.9,0258-982-5582,www.royal-rice-field-house.vn
159,Lotus Halong Apartments,Nha Trang,"174 Quang Trung, Nha Trang",658715,3.9,0258-816-9341,www.lotus-halong-apartments.com.vn
160,Palm Hanoi Inn,Nha Trang,"243 Trần Hưng Đạo, Nha Trang",580673,3.8,094356218,www.palm-hanoi-inn.com
161,City Lodge Rice Field,Nha Trang,"260 Trần Hưng Đạo, Nha Trang",872457,4.6,085861272,www.city-lodge-rice-field.com.vn
162,Ocean Apartments Rice Field,Nha Trang,"14 Hai Bà Trưng, Nha Trang",654049,4.0,098381841,www.ocean-apartments-rice-field.vn
163,Garden Azure Inn,Nha Trang,"17 Bạch Đằng, Nha Trang",747293,3.9,0258-651-6139,www.garden-azure-inn.com.vn
164,Sunrise Da Lat Apartments,Nha Trang,"242 Nguyễn Văn Cừ, Nha Trang",965360,4.7,0258-341-9498,www.sunrise-da-lat-apartments.com
165,Emerald Mekong Breeze House,Nha Trang,"161 Nguyễn Trãi, Nha Trang",919313,4.9,0258-759-6804,www.emerald-mekong-breeze-house.vn
166,Horizon Lodge Mekong Breeze,Nha Trang,"127 Hùng Vương, Nha Trang",486250,3.2,088895735,www.horizon-lodge-mekong-breeze.vn
167,Pearl Palace Lotus,Nha Trang,"179 Lê Duẩn, Nha Trang",809172,3.9,082249899,www.pearl-palace-lotus.com.vn
168,City Inn Mango,Nha Trang,"148 Đồng Khởi, Nha Trang",783929,4.9,088658849,www.city-inn-mango.com
169,Pearl Lodge Seaside,Nha Trang,"71 Lê Lợi, Nha Trang",470464,2.8,0258-251-9700,www.pearl-lodge-seaside.com
170,Horizon Halong Apartments,Nha Trang,"242 Trần Hưng Đạo, Nha Trang",475368,2.8,0258-763-3587,www.horizon-halong-apartments.com.vn
171,Horizon Palace Mekong Breeze,Nha Trang,"148 Hùng Vương, Nha Trang",581223,3.3,037674804,www.horizon-palace-mekong-breeze.vn
172,Royal Inn Monsoon,Nha Trang,"19 Phan Chu Trinh, Nha Trang",920023,5.0,0258-966-5742,www.royal-inn-monsoon.com
173,Grand Halong Villa,Nha Trang,"233 Hai Bà Trưng, Nha Trang",973396,5.0,0258-337-9261,www.grand-halong-villa.com.vn
174,Golden Halong Villa,Nha Trang,"235 Phan Chu Trinh, Nha Trang",803942,4.1,0258-545-5833,www.golden-halong-villa.vn
175,Pearl Azure Apartments,Nha Trang,"168 Nguyễn Văn Cừ, Nha Trang",433221,2.7,0258-343-8822,www.pearl-azure-apartments.com.vn
176,Imperial Azure Suites,Nha Trang,"137 Nguyễn Thị Minh Khai, Nha Trang",863216,4.9,033676890,www.imperial-azure-suites.vn
177,Imperial Halong Palace,Nha Trang,"82 Hai Bà Trưng, Nha Trang",599074,3.5,088062923,www.imperial-halong-palace.vn
178,Silver Nha Trang Suites,Nha Trang,"245 Điện Biên Phủ, Nha Trang",497787,2.9,078189998,www.silver-nha-trang-suites.com.vn
179,Emerald Suites Nha Trang,Nha Trang,"42 Hoàng Văn Thụ, Nha Trang",677514,3.8,0258-777-2838,www.emerald-suites-nha-trang.com
180,Emerald Suites Rice Field,Nha Trang,"77 Khuê Văn Các, Nha Trang",516285,2.9,0258-896-4365,www.emerald-suites-rice-field.vn
181,Sky Sunset Palace,Nha Trang,"233 Đồng Khởi, Nha Trang",417036,2.8,0258-772-8575,www.sky-sunset-palace.vn
182,Silver Apartments Mekong,Nha Trang,"112 Lý Thường Kiệt, Nha Trang",573998,3.9,0258-265-9866,www.silver-apartments-mekong.com
183,Majestic Palace Hanoi,Nha Trang,"210 Hai Bà Trưng, Nha Trang",391687,2.9,074837266,www.majestic-palace-hanoi.com.vn
